time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.06,-0.0018833521134271616,0.002168783686137262,0.0,0.4417547908188837,0.6396822231703005,0.0,-0.11318098730875517,-0.04127328305460651,-0.5457335054356729,-6.412320607776274,1.8997819810597956,0.0,3.0446853974668566,372.8871344108247,691.8754266415957,63.408196940320025,-6.001715599553422
0.06,-0.0017546131023896182,0.002065305208006119,0.0,0.49934042700300374,0.5986057270161496,0.0,-0.1055558859360202,-0.04581598903632053,-0.5421748448228686,-6.439450028206773,1.8358783046608491,0.0,3.09260995051294,366.53356360896,693.2943351959141,62.80625715135032,-6.001629353394328
0.06,-0.0016376617394081587,0.0020013916715669227,0.0,0.5301114438362831,0.5619066146051743,0.0,-0.09861160270063246,-0.048496738019454824,-0.5404690121123302,-6.453899452583146,1.7769050093891101,0.0,3.0753936726364945,360.572201642162,694.0206142856712,62.16749396829649,-6.001562401737917
0.06,-0.0015257995015749643,0.0019509430830868964,0.0,0.5520839175493641,0.5268329573393684,0.0,-0.09195628870680642,-0.050514707320535035,-0.5393625739933954,-6.464197291814184,1.7187172123036207,0.0,3.2471546530097934,354.59547294876813,694.5452697703909,61.79235971983902,-6.001502371791018
0.06,-0.001425370125550861,0.001918259952798121,0.0,0.5625639967536866,0.4954115096677363,0.0,-0.08597063188990924,-0.051744197122816804,-0.5390745461183921,-6.469103155639187,1.6649222112148663,0.0,2.9072374608234326,348.97605989507696,694.7951397416489,61.613454147973385,-6.001453293883107
0.06,-0.0013365475925393327,0.001916557151019461,0.0,0.5510600073207357,0.4680016293474649,0.0,-0.08066820822323599,-0.05170265590984016,-0.5404716852697323,-6.463717780857706,1.6165860884274519,0.0,2.8020577862292133,343.8517343687486,694.4738044425163,61.2787916079728,-6.001420448806131
0.06,-0.0012516014207821812,0.0019346973218903084,0.0,0.5249587301141805,0.44188090533591584,0.0,-0.07559051609830035,-0.05082325318243641,-0.5429974041721853,-6.451482119598906,1.569189284871709,0.0,3.111148608019031,338.7565180232078,693.8088399096955,61.25978849767086,-6.001396683539829
0.06,-0.001176704481871555,0.0019694168233254676,0.0,0.48742541658415384,0.41896629676924135,0.0,-0.07110822721034486,-0.049188087640480105,-0.5463484834686475,-6.433846170813987,1.5264444163289537,0.0,2.9010811254631075,334.09146633395324,692.8522911102667,61.265787531118384,-6.001382874377983
0.06,-0.0011143814278204336,0.0019857538993104783,0.0,0.4653484617559318,0.39957268091457365,0.0,-0.06737542484031278,-0.04824284985527785,-0.5484051012955603,-6.423449914303944,1.4893464062620594,0.0,2.727632782022744,329.99024944179433,692.2570191302277,60.920007583003695,-6.00136636203473
0.06,-0.0010591185404568992,0.002044734018304496,0.0,0.41200580499117656,0.38285699643774684,0.0,-0.06406208673565943,-0.045423021506965186,-0.5527838452049251,-6.398259877486769,1.4566429927619566,0.0,3.056830061831428,326.3369860302481,690.9078160491297,61.15867450916104,-6.001368775053599
0.06,-0.0010048723387157128,0.0021081264194074342,0.0,0.35528039965471336,0.3663754897121745,0.0,-0.06080746317502579,-0.04221139197063273,-0.5573135422322087,-6.371361974683784,1.4236920852157782,0.0,2.8762916749338134,322.6102270622629,689.4556805993094,61.314260764120554,-6.0013729553343484
